dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	d4a6b39cad38	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-15	54	16	8	5			-17	-17	-17	401		4	397	16.406		0.164	16.243			0.998	99.002	64			64	18.991			19.219	2.618			2.618	27.658			29.304	11586	2444174	1.6	33.7
jhu/series	5b405d72c05d	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-16	55	17	9	6			-16	-16	-16	439		4	435	17.961		0.164	17.797			0.911	99.089	38			38	9.476			9.572	1.555			1.555	16.422			17.399	11586	2444174	1.6	33.7
jhu/series	9ad8a90c724d	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-18	57	19	11	8			-14	-14	-14	452		4	448	18.493		0.164	18.329			0.885	99.115	13			13	2.961			2.989	0.532			0.532	5.618			5.952	11586	2444174	1.6	33.7
jhu/series	b5b30d9cf7ff	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-19	58	20	12	9			-13	-13	-13	460		4	456	18.82		0.164	18.657			0.87	99.13	8			8	1.77			1.786	0.327			0.327	3.457			3.663	11586	2444174	1.6	33.7
jhu/series	39bb909f93c6	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-20	59	21	13	10			-12	-12	-12	470		10	460	19.229		0.409	18.82			2.128	97.872	10		6	4	2.174		150	0.877	0.409		0.245	0.164	4.322		27.523	1.832	11586	2444174	1.6	33.7
jhu/series	b65778f16094	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-21	60	22	14	11			-11	-11	-11	481		27	454	19.679		1.105	18.575			5.613	94.387	11		17	-6	2.34		170	-1.304	0.45		0.696	-0.245	4.754		77.982	-2.747	11586	2444174	1.6	33.7
jhu/series	568a511dc6dc	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-22	61	23	15	12			-10	-10	-10	494		33	461	20.211		1.35	18.861			6.68	93.32	13		6	7	2.703		22.222	1.542	0.532		0.245	0.286	5.618		27.523	3.205	11586	2444174	1.6	33.7
jhu/series	041c94edae44	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-23	62	24	16	13			-9	-9	-9	501		33	468	20.498		1.35	19.148			6.587	93.413	7			7	1.417			1.518	0.286			0.286	3.025			3.205	11586	2444174	1.6	33.7
jhu/series	a32e98e5fa8b	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-24	63	25	17	14			-8	-8	-8	526		41	485	21.521		1.677	19.843			7.795	92.205	25		8	17	4.99		24.242	3.632	1.023		0.327	0.696	10.804		36.697	7.784	11586	2444174	1.6	33.7
jhu/series	3d1fc1a9997d	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-25	64	26	18	15			-7	-7	-7	537		41	496	21.971		1.677	20.293			7.635	92.365	11			11	2.091			2.268	0.45			0.45	4.754			5.037	11586	2444174	1.6	33.7
jhu/series	5668c94288b2	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-26	65	27	19	16			-6	-6	-6	549		43	506	22.462		1.759	20.702			7.832	92.168	12		2	10	2.235		4.878	2.016	0.491		0.082	0.409	5.186		9.174	4.579	11586	2444174	1.6	33.7
jhu/series	86670a524c54	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-27	66	28	20	17			-5	-5	-5	562		43	519	22.993		1.759	21.234			7.651	92.349	13			13	2.368			2.569	0.532			0.532	5.618			5.952	11586	2444174	1.6	33.7
jhu/series	2f88e050d08c	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-28	67	29	21	18			-4	-4	-4	590	1	45	544	24.139	0.041	1.841	22.257		0.169	7.627	92.203	28	1	2	25	4.982		4.651	4.817	1.146	0.041	0.082	1.023	12.1	100	9.174	11.447	11586	2444174	1.6	33.7
jhu/series	93e08221283b	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-29	68	30	22	19			-3	-3	-3	634	1	48	585	25.939	0.041	1.964	23.934		0.158	7.571	92.271	44		3	41	7.458		6.667	7.537	1.8		0.123	1.677	19.015		13.761	18.773	11586	2444174	1.6	33.7
jhu/series	553fa8bba235	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-30	69	31	23	20			-2	-2	-2	693	1	51	641	28.353	0.041	2.087	26.226		0.144	7.359	92.496	59		3	56	9.306		6.25	9.573	2.414		0.123	2.291	25.497		13.761	25.641	11586	2444174	1.6	33.7
jhu/series	00988cafc4b2	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-03-31	70	32	24	21			-1	-1	-1	781	2	62	717	31.954	0.082	2.537	29.335		0.256	7.939	91.805	88	1	11	76	12.698	100	21.569	11.856	3.6	0.041	0.45	3.109	38.029	100	50.459	34.799	11586	2444174	1.6	33.7
jhu/series	8b40befd68c8	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-04-01	71	33	25	22			0	0	0	835	2	71	762	34.163	0.082	2.905	31.176		0.24	8.503	91.257	54		9	45	6.914		14.516	6.276	2.209		0.368	1.841	23.336		41.284	20.604	11586	2444174	1.6	33.7
jhu/series	ee5604e6626c	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-04-02	72	34	26	23			1	1	1	949	3	72	874	38.827	0.123	2.946	35.759		0.316	7.587	92.097	114	1	1	112	13.653	50	1.408	14.698	4.664	0.041	0.041	4.582	49.265	100	4.587	51.282	11586	2444174	1.6	33.7
jhu/series	5a3f08dce3cd	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-04-03	73	35	27	24	1		2	2	2	1075	3	93	979	43.982	0.123	3.805	40.054		0.279	8.651	91.07	126		21	105	13.277		29.167	12.014	5.155		0.859	4.296	54.451		96.33	48.077	11586	2444174	1.6	33.7
jhu/series	91885ed1a864	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-04-04	74	36	28	25	2		3	3	3	1325	3	109	1213	54.211	0.123	4.46	49.628		0.226	8.226	91.547	250		16	234	23.256		17.204	23.902	10.228		0.655	9.574	108.038		73.394	107.143	11586	2444174	1.6	33.7
jhu/series	185d89ca3ac5	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-04-05	75	37	29	26	3		4	4	4	1604	4	123	1477	65.625	0.164	5.032	60.429		0.249	7.668	92.082	279	1	14	264	21.057	33.333	12.844	21.764	11.415	0.041	0.573	10.801	120.57	100	64.22	120.879	11586	2444174	1.6	33.7
jhu/series	7c8c6cc7db27	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-04-06	76	38	30	27	4		5	5	5	1832	4	131	1697	74.954	0.164	5.36	69.43		0.218	7.151	92.631	228		8	220	14.214		6.504	14.895	9.328		0.327	9.001	98.531		36.697	100.733	11586	2444174	1.6	33.7
jhu/series	33cf4afecab5	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-04-07	77	39	31	28	5		6	6	6	2057	6	150	1901	84.159	0.245	6.137	77.777		0.292	7.292	92.416	225	2	19	204	12.282	50	14.504	12.021	9.206	0.082	0.777	8.346	97.234	200	87.156	93.407	11586	2444174	1.6	33.7
jhu/series	020287bd9355	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-04-08	78	40	32	29	6		7	7	7	2210	6	178	2026	90.419	0.245	7.283	82.891		0.271	8.054	91.674	153		28	125	7.438		18.667	6.575	6.26		1.146	5.114	66.119		128.44	57.234	11586	2444174	1.6	33.7
jhu/series	de9bdd53be82	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-04-09	79	41	33	30	7		8	8	8	2376	6	206	2164	97.211	0.245	8.428	88.537		0.253	8.67	91.077	166		28	138	7.511		15.73	6.811	6.792		1.146	5.646	71.737		128.44	63.187	11586	2444174	1.6	33.7
jhu/series	385654a60cb6	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-04-10	80	42	34	31	8		9	9	9	2512	6	227	2279	102.775	0.245	9.287	93.242		0.239	9.037	90.725	136		21	115	5.724		10.194	5.314	5.564		0.859	4.705	58.773		96.33	52.656	11586	2444174	1.6	33.7
jhu/series	cd2fc54edeeb	d4951e0fcc46	total-country	Qatar	QA	Qatar			25.5	51.25	Asia	Western Asia	2020-04-11	81	43	35	32	9		10	10	10	2728	6	247	2475	111.612	0.245	10.106	101.261		0.22	9.054	90.726	216		20	196	8.599		8.811	8.6	8.837		0.818	8.019	93.345		91.743	89.744	11586	2444174	1.6	33.7
